player_id,hand,dob,ioc,height,wikidata_id,name
100390,L,19550817.0,AUS,178.0,Q19975564,Trevor Allan
100391,R,19550821.0,USA,,,Larry Davidson
100392,R,19550904.0,USA,183.0,Q7327797,Richard Meyer
100393,R,19550926.0,BRA,185.0,Q2740863,Marcos Hocevar
100394,R,19551010.0,ESP,163.0,Q8076837,Angel Gimenez
100395,R,19551015.0,PAR,193.0,Q715523,Victor Pecci
100396,L,19551019.0,GBR,,Q96392148,Martin Robinson
100397,R,19551021.0,AUS,180.0,Q7704959,Terry Rocavert
100398,R,19551025.0,BRA,180.0,Q10313439,Julio Goes
100399,R,19551027.0,USA,,,Rocky Maguire
100400,R,19551103.0,USA,,,Hubertus Hoyt
100401,R,19551112.0,IRL,,Q7441447,Sean Sorensen
100402,R,19551119.0,PAR,193.0,Q281439,Francisco Gonzalez
100403,R,19551125.0,GER,185.0,Q73896,Rolf Gehring
100404,R,19551202.0,USA,,Q17442289,David Sherbeck
100405,R,19551202.0,PER,,Q5444825,Fernando Maynetto
100406,R,19551205.0,CAN,188.0,,Greg Halder
100407,R,19551216.0,AUS,,Q3012292,Dale Collings
100408,R,19551221.0,USA,175.0,,Gary Plock
100409,R,19551222.0,USA,188.0,,Randy Crawford
100410,R,19551228.0,USA,,Q56702380,Tim Garcia
100411,R,19551229.0,CZE,173.0,Q1445074,Pavel Slozil
100412,R,19551231.0,USA,,Q4978078,Bruce Nichols
100413,R,19560101.0,GER,,Q7879844,Ulrich Marten
100414,R,19560112.0,GER,,,Gunther Gnettner
100415,R,19560203.0,USA,178.0,Q96392800,Michael Grant
100416,R,19560209.0,USA,,Q4910058,Bill Maze
100417,R,19560209.0,CHI,183.0,Q630148,Hans Gildemeister
100418,R,19560213.0,USA,,,Geoff Martinez
100419,R,19560217.0,USA,,,Todd Lundy
100420,R,19560225.0,SUI,,,Hans Ritschard
100421,R,19560306.0,SWE,,Q18346977,Jan Norback
100422,L,19560320.0,USA,173.0,Q2926443,Bruce Manson
100423,R,19560321.0,GER,,,Jochen Hierl
100424,R,19560328.0,USA,,,Warren Eber
100425,R,19560329.0,USA,,,Junie Chatman
100426,R,19560402.0,AUT,185.0,Q29995040,Hans Peter Kandler
100427,L,19560411.0,ITA,180.0,Q55314859,Ferrante Rocchi
100428,R,19560411.0,USA,183.0,Q2760368,Gene Mayer
